id_medico,segmento_potencial,region,brick,id_delegado_asignado
MED0620,C,Noreste,NOR-30,DEL026
MED0621,C,Centro,CEN-03,DEL003
MED0622,A,Noreste,NOR-24,DEL006
MED0623,B,Centro,CEN-26,DEL023
MED0624,B,Levante,LEV-09,DEL039
MED0625,B,Levante,LEV-29,DEL044
MED0626,A,Sur,SUR-01,DEL050
MED0627,C,Sur,SUR-06,DEL015
MED0628,B,Noreste,NOR-25,DEL006
MED0629,B,Noroeste,NOR-03,DEL042
MED0630,C,Noroeste,NOR-24,DEL002
MED0631,C,Centro,CEN-18,DEL043
MED0632,C,Noreste,NOR-18,DEL046
MED0633,C,Levante,LEV-23,DEL024
MED0634,C,Noroeste,NOR-09,DEL002
MED0635,B,Noroeste,NOR-05,DEL022
MED0636,B,Levante,LEV-16,DEL039
MED0637,A,Noreste,NOR-12,DEL006
MED0638,B,Noroeste,NOR-23,DEL042
MED0639,B,Levante,LEV-15,DEL024
MED0640,C,Centro,CEN-23,DEL028
MED0641,C,Noreste,NOR-02,DEL001
MED0642,C,Levante,LEV-03,DEL019
MED0643,C,Noreste,NOR-09,DEL001
MED0644,C,Levante,LEV-11,DEL044
MED0645,C,Levante,LEV-19,DEL029
MED0646,B,Noreste,NOR-26,DEL046
MED0647,C,Sur,SUR-17,DEL010
MED0648,B,Centro,CEN-25,DEL028
MED0649,B,Centro,CEN-05,DEL008
MED0650,A,Levante,LEV-11,DEL039
MED0651,B,Centro,CEN-18,DEL028
MED0652,C,Centro,CEN-15,DEL043
MED0653,C,Levante,LEV-29,DEL029
MED0654,B,Noroeste,NOR-28,DEL012
MED0655,B,Noreste,NOR-29,DEL016
MED0656,C,Levante,LEV-01,DEL019
MED0657,C,Levante,LEV-15,DEL014
MED0658,C,Sur,SUR-22,DEL020
MED0659,C,Sur,SUR-10,DEL050
MED0660,C,Centro,CEN-05,DEL048
MED0661,A,Levante,LEV-02,DEL004
MED0662,B,Levante,LEV-13,DEL029
MED0663,B,Noroeste,NOR-14,DEL022
MED0664,C,Levante,LEV-16,DEL014
MED0665,A,Sur,SUR-09,DEL050
MED0666,B,Noreste,NOR-11,DEL036
MED0667,C,Noreste,NOR-04,DEL031
MED0668,B,Noroeste,NOR-02,DEL042
MED0669,C,Noroeste,NOR-11,DEL027
MED0670,A,Sur,SUR-28,DEL045
MED0671,C,Noreste,NOR-09,DEL011
MED0672,B,Noroeste,NOR-01,DEL027
MED0673,A,Noreste,NOR-07,DEL026
MED0674,C,Noreste,NOR-01,DEL046
MED0675,B,Noroeste,NOR-18,DEL007
MED0676,B,Noreste,NOR-09,DEL016
MED0677,C,Noreste,NOR-25,DEL006
MED0678,C,Levante,LEV-10,DEL014
MED0679,C,Noroeste,NOR-22,DEL027
MED0680,A,Levante,LEV-08,DEL029
MED0681,B,Levante,LEV-27,DEL004
MED0682,C,Noroeste,NOR-13,DEL027
MED0683,C,Sur,SUR-21,DEL010
MED0684,B,Sur,SUR-16,DEL045
MED0685,B,Levante,LEV-27,DEL009
MED0686,B,Sur,SUR-21,DEL005
MED0687,B,Sur,SUR-14,DEL050
MED0688,B,Centro,CEN-22,DEL008
MED0689,B,Centro,CEN-18,DEL033
MED0690,A,Sur,SUR-04,DEL030
MED0691,B,Centro,CEN-14,DEL023
MED0692,C,Noreste,NOR-21,DEL011
MED0693,C,Noreste,NOR-25,DEL001
MED0694,B,Sur,SUR-27,DEL005
MED0695,C,Sur,SUR-13,DEL020
MED0696,C,Noreste,NOR-29,DEL031
MED0697,B,Levante,LEV-20,DEL039
MED0698,B,Centro,CEN-14,DEL008
MED0699,B,Noreste,NOR-27,DEL001
MED0700,B,Noreste,NOR-19,DEL011
MED0701,A,Centro,CEN-07,DEL023
MED0702,B,Centro,CEN-11,DEL033
MED0703,B,Centro,CEN-09,DEL018
MED0704,B,Noroeste,NOR-09,DEL002
MED0705,C,Levante,LEV-11,DEL034
MED0706,C,Noreste,NOR-30,DEL026
MED0707,B,Levante,LEV-27,DEL044
MED0708,C,Levante,LEV-16,DEL014
MED0709,B,Levante,LEV-15,DEL049
MED0710,B,Sur,SUR-20,DEL020
MED0711,B,Noreste,NOR-17,DEL021
MED0712,C,Noroeste,NOR-11,DEL027
MED0713,C,Levante,LEV-26,DEL039
MED0714,A,Levante,LEV-10,DEL014
MED0715,C,Noroeste,NOR-02,DEL037
MED0716,B,Noreste,NOR-16,DEL031
MED0717,C,Noroeste,NOR-12,DEL027
MED0718,A,Levante,LEV-07,DEL014
MED0719,A,Noroeste,NOR-01,DEL027
MED0720,B,Sur,SUR-28,DEL010
MED0721,C,Noreste,NOR-07,DEL046
MED0722,C,Noroeste,NOR-15,DEL032
MED0723,C,Levante,LEV-01,DEL044
MED0724,B,Centro,CEN-26,DEL048
MED0725,C,Noreste,NOR-07,DEL031
MED0726,B,Noroeste,NOR-13,DEL047
MED0727,B,Noreste,NOR-20,DEL046
MED0728,C,Levante,LEV-18,DEL024
MED0729,C,Levante,LEV-24,DEL029
MED0730,A,Centro,CEN-08,DEL018
MED0731,C,Noroeste,NOR-09,DEL012
MED0732,A,Centro,CEN-28,DEL048
MED0733,C,Sur,SUR-15,DEL030
MED0734,A,Centro,CEN-05,DEL033
MED0735,C,Centro,CEN-23,DEL018
MED0736,B,Centro,CEN-22,DEL003
MED0737,C,Noroeste,NOR-05,DEL017
MED0738,C,Centro,CEN-11,DEL033
MED0739,A,Sur,SUR-11,DEL030
MED0740,C,Noreste,NOR-17,DEL001
MED0741,C,Centro,CEN-23,DEL048
MED0742,C,Levante,LEV-05,DEL029
MED0743,B,Noreste,NOR-03,DEL021
MED0744,C,Centro,CEN-19,DEL003
MED0745,C,Noreste,NOR-07,DEL026
MED0746,C,Levante,LEV-02,DEL044
MED0747,C,Noreste,NOR-12,DEL026
MED0748,A,Centro,CEN-09,DEL013
MED0749,C,Noreste,NOR-05,DEL026
MED0750,B,Noreste,NOR-27,DEL046
MED0751,A,Centro,CEN-06,DEL048
MED0752,A,Noroeste,NOR-15,DEL027
MED0753,B,Levante,LEV-27,DEL019
MED0754,C,Noreste,NOR-30,DEL046
MED0755,C,Noreste,NOR-17,DEL016
MED0756,C,Noreste,NOR-16,DEL036
MED0757,B,Centro,CEN-14,DEL018
MED0758,A,Centro,CEN-20,DEL013
MED0759,C,Sur,SUR-24,DEL045
MED0760,B,Noreste,NOR-19,DEL026
MED0761,C,Noroeste,NOR-24,DEL042
MED0762,C,Centro,CEN-19,DEL038
MED0763,C,Centro,CEN-25,DEL008
MED0764,B,Sur,SUR-12,DEL015
MED0765,C,Sur,SUR-20,DEL030
MED0766,B,Noreste,NOR-08,DEL011
MED0767,C,Noroeste,NOR-07,DEL032
MED0768,C,Sur,SUR-16,DEL015
MED0769,A,Noreste,NOR-06,DEL021
MED0770,B,Noroeste,NOR-21,DEL002
MED0771,C,Centro,CEN-04,DEL038
MED0772,C,Noreste,NOR-08,DEL031
MED0773,C,Centro,CEN-16,DEL008
MED0774,C,Noroeste,NOR-10,DEL017
MED0775,C,Centro,CEN-09,DEL003
MED0776,B,Levante,LEV-21,DEL029
MED0777,C,Noroeste,NOR-03,DEL002
MED0778,B,Centro,CEN-06,DEL048
MED0779,B,Levante,LEV-19,DEL044
MED0780,C,Centro,CEN-07,DEL028
MED0781,C,Noroeste,NOR-13,DEL042
MED0782,C,Noreste,NOR-05,DEL021
MED0783,C,Noreste,NOR-23,DEL036
MED0784,A,Noroeste,NOR-12,DEL017
MED0785,C,Levante,LEV-11,DEL014
MED0786,B,Noreste,NOR-06,DEL006
MED0787,B,Levante,LEV-12,DEL004
MED0788,C,Noreste,NOR-20,DEL021
MED0789,A,Centro,CEN-13,DEL003
MED0790,C,Centro,CEN-24,DEL018
MED0791,B,Noreste,NOR-06,DEL046
MED0792,C,Levante,LEV-02,DEL029
MED0793,C,Centro,CEN-05,DEL038
MED0794,B,Noroeste,NOR-28,DEL042
MED0795,B,Sur,SUR-29,DEL020
MED0796,A,Sur,SUR-06,DEL035
MED0797,C,Levante,LEV-23,DEL019
MED0798,C,Levante,LEV-13,DEL014
MED0799,C,Noreste,NOR-13,DEL001
MED0800,C,Noroeste,NOR-24,DEL017
MED0801,B,Noroeste,NOR-28,DEL047
MED0802,C,Noreste,NOR-13,DEL006
MED0803,A,Centro,CEN-11,DEL028
MED0804,C,Centro,CEN-15,DEL048
MED0805,C,Sur,SUR-02,DEL030
MED0806,A,Centro,CEN-26,DEL043
MED0807,B,Sur,SUR-04,DEL025
MED0808,C,Levante,LEV-05,DEL049
MED0809,B,Noroeste,NOR-06,DEL042
MED0810,C,Levante,LEV-12,DEL019
MED0811,A,Centro,CEN-02,DEL043
MED0812,C,Centro,CEN-19,DEL048
MED0813,C,Centro,CEN-26,DEL003
MED0814,C,Centro,CEN-06,DEL028
MED0815,C,Levante,LEV-18,DEL049
MED0816,C,Noreste,NOR-13,DEL026
MED0817,B,Noroeste,NOR-03,DEL002
MED0818,A,Centro,CEN-10,DEL033
MED0819,C,Levante,LEV-11,DEL039
MED0820,C,Levante,LEV-22,DEL019
MED0821,C,Noreste,NOR-09,DEL016
MED0822,C,Noreste,NOR-24,DEL041
MED0823,B,Levante,LEV-17,DEL009
MED0824,C,Levante,LEV-26,DEL009
MED0825,B,Centro,CEN-02,DEL048
MED0826,C,Levante,LEV-09,DEL034
MED0827,C,Centro,CEN-14,DEL043
MED0828,C,Levante,LEV-20,DEL049
MED0829,C,Noreste,NOR-13,DEL026
MED0830,B,Noreste,NOR-04,DEL006
MED0831,C,Noreste,NOR-02,DEL016
MED0832,C,Noreste,NOR-02,DEL006
MED0833,B,Noreste,NOR-22,DEL036
MED0834,C,Centro,CEN-01,DEL038
MED0835,C,Noreste,NOR-06,DEL036
MED0836,B,Levante,LEV-03,DEL044
MED0837,A,Noreste,NOR-21,DEL031
MED0838,C,Noreste,NOR-21,DEL011
MED0839,C,Noroeste,NOR-07,DEL007
MED0840,C,Noreste,NOR-29,DEL021
MED0841,B,Levante,LEV-12,DEL004
MED0842,C,Noroeste,NOR-04,DEL017
MED0843,C,Sur,SUR-03,DEL045
MED0844,B,Noroeste,NOR-17,DEL027
MED0845,B,Noreste,NOR-05,DEL006
MED0846,A,Centro,CEN-17,DEL023
MED0847,C,Noreste,NOR-18,DEL041
MED0848,C,Noreste,NOR-09,DEL031
MED0849,C,Sur,SUR-30,DEL025
MED0850,C,Levante,LEV-10,DEL019
MED0851,B,Noroeste,NOR-22,DEL022
MED0852,B,Levante,LEV-30,DEL049
MED0853,B,Levante,LEV-20,DEL004
MED0854,B,Noreste,NOR-01,DEL001
MED0855,B,Noreste,NOR-29,DEL006
MED0856,B,Sur,SUR-03,DEL030
MED0857,B,Centro,CEN-21,DEL028
MED0858,B,Levante,LEV-02,DEL009
MED0859,A,Noreste,NOR-06,DEL006
MED0860,B,Noreste,NOR-12,DEL026
MED0861,C,Levante,LEV-04,DEL014
MED0862,C,Levante,LEV-26,DEL044
MED0863,B,Noroeste,NOR-06,DEL007
MED0864,B,Levante,LEV-21,DEL019
MED0865,A,Sur,SUR-10,DEL025
MED0866,C,Centro,CEN-25,DEL008
MED0867,B,Noreste,NOR-10,DEL001
MED0868,A,Levante,LEV-21,DEL029
MED0869,C,Levante,LEV-26,DEL024
MED0870,C,Noreste,NOR-28,DEL006
MED0871,C,Noreste,NOR-29,DEL026
MED0872,C,Sur,SUR-28,DEL040
MED0873,C,Centro,CEN-20,DEL018
MED0874,B,Centro,CEN-23,DEL033
MED0875,C,Sur,SUR-07,DEL025
MED0876,C,Sur,SUR-09,DEL020
MED0877,B,Levante,LEV-30,DEL039
MED0878,B,Sur,SUR-04,DEL015
MED0879,B,Sur,SUR-09,DEL040
MED0880,C,Noreste,NOR-21,DEL016
MED0881,C,Centro,CEN-10,DEL033
MED0882,A,Sur,SUR-19,DEL025
MED0883,C,Levante,LEV-15,DEL029
MED0884,C,Noreste,NOR-11,DEL036
MED0885,A,Centro,CEN-21,DEL003
MED0886,C,Centro,CEN-29,DEL003
MED0887,B,Noreste,NOR-22,DEL026
MED0888,C,Centro,CEN-26,DEL018
MED0889,B,Noroeste,NOR-28,DEL017
MED0890,C,Noreste,NOR-28,DEL026
MED0891,B,Noreste,NOR-11,DEL041
MED0892,B,Noreste,NOR-23,DEL041
MED0893,A,Levante,LEV-08,DEL014
MED0894,B,Noroeste,NOR-25,DEL032
MED0895,A,Centro,CEN-26,DEL043
MED0896,C,Noreste,NOR-30,DEL041
MED0897,B,Noroeste,NOR-30,DEL002
MED0898,C,Sur,SUR-09,DEL025
MED0899,B,Sur,SUR-27,DEL035
MED0900,C,Levante,LEV-04,DEL049
MED0901,B,Noreste,NOR-03,DEL021
MED0902,C,Centro,CEN-01,DEL038
MED0903,C,Noroeste,NOR-16,DEL022
MED0904,C,Noreste,NOR-17,DEL016
MED0905,B,Sur,SUR-17,DEL005
MED0906,C,Sur,SUR-21,DEL050
MED0907,C,Centro,CEN-18,DEL033
MED0908,B,Noreste,NOR-03,DEL021
MED0909,A,Sur,SUR-18,DEL030
MED0910,B,Levante,LEV-12,DEL044
MED0911,C,Levante,LEV-11,DEL039
MED0912,C,Sur,SUR-06,DEL005
MED0913,C,Noroeste,NOR-22,DEL032
MED0914,C,Noreste,NOR-15,DEL036
MED0915,C,Centro,CEN-12,DEL028
MED0916,C,Noreste,NOR-15,DEL026
MED0917,C,Noreste,NOR-17,DEL031
MED0918,B,Levante,LEV-14,DEL014
MED0919,B,Noreste,NOR-29,DEL036
MED0920,B,Levante,LEV-10,DEL034
MED0921,B,Sur,SUR-21,DEL010
MED0922,A,Sur,SUR-18,DEL030
MED0923,B,Levante,LEV-25,DEL034
MED0924,A,Noroeste,NOR-26,DEL042
MED0925,C,Levante,LEV-14,DEL009
MED0926,A,Sur,SUR-07,DEL030
MED0927,C,Centro,CEN-08,DEL003
MED0928,C,Levante,LEV-09,DEL014
MED0929,C,Centro,CEN-09,DEL028
MED0930,B,Noreste,NOR-10,DEL026
MED0931,B,Sur,SUR-16,DEL040
MED0932,C,Noreste,NOR-25,DEL046
MED0933,B,Levante,LEV-25,DEL009
MED0934,A,Noroeste,NOR-29,DEL032
MED0935,C,Levante,LEV-06,DEL049
MED0936,C,Centro,CEN-17,DEL043
MED0937,C,Centro,CEN-28,DEL013
MED0938,C,Noroeste,NOR-03,DEL042
MED0939,C,Levante,LEV-17,DEL044
MED0940,C,Noreste,NOR-24,DEL001
MED0941,B,Centro,CEN-04,DEL043
MED0942,C,Levante,LEV-02,DEL024
MED0943,C,Noreste,NOR-10,DEL021
MED0944,C,Levante,LEV-16,DEL044
MED0945,C,Centro,CEN-25,DEL018
MED0946,A,Noreste,NOR-01,DEL006
MED0947,C,Noreste,NOR-03,DEL026
MED0948,B,Noreste,NOR-29,DEL021
MED0949,C,Noroeste,NOR-18,DEL012
MED0950,B,Noroeste,NOR-15,DEL002
MED0951,B,Levante,LEV-10,DEL034
MED0952,A,Noreste,NOR-07,DEL006
MED0953,B,Sur,SUR-15,DEL050
MED0954,B,Noreste,NOR-08,DEL001
MED0955,C,Levante,LEV-07,DEL029
MED0956,B,Sur,SUR-30,DEL035
MED0957,B,Noreste,NOR-29,DEL006
MED0958,B,Centro,CEN-11,DEL038
MED0959,B,Sur,SUR-13,DEL040
MED0960,B,Sur,SUR-24,DEL010
MED0961,C,Noreste,NOR-12,DEL006
MED0962,B,Noroeste,NOR-07,DEL027
MED0963,B,Noreste,NOR-09,DEL021
MED0964,A,Levante,LEV-13,DEL049
MED0965,C,Noreste,NOR-19,DEL001
MED0966,C,Centro,CEN-30,DEL048
MED0967,C,Noreste,NOR-25,DEL001
MED0968,C,Levante,LEV-13,DEL024
MED0969,C,Noreste,NOR-28,DEL006
MED0970,A,Sur,SUR-15,DEL015
MED0971,B,Noreste,NOR-02,DEL036
MED0972,B,Levante,LEV-07,DEL034
MED0973,A,Sur,SUR-14,DEL045
MED0974,B,Noreste,NOR-24,DEL026
MED0975,C,Noroeste,NOR-20,DEL017
MED0976,B,Centro,CEN-15,DEL023
MED0977,B,Noreste,NOR-09,DEL031
MED0978,B,Noreste,NOR-29,DEL041
MED0979,B,Centro,CEN-03,DEL023
MED0980,C,Noroeste,NOR-19,DEL022
MED0981,B,Levante,LEV-11,DEL009
MED0982,B,Sur,SUR-12,DEL020
MED0983,A,Centro,CEN-04,DEL023
MED0984,C,Centro,CEN-12,DEL023
MED0985,B,Levante,LEV-16,DEL024
MED0986,B,Sur,SUR-03,DEL035
MED0987,C,Noreste,NOR-09,DEL026
MED0988,B,Levante,LEV-27,DEL039
MED0989,B,Levante,LEV-25,DEL044
MED0990,C,Centro,CEN-14,DEL008
MED0991,A,Noroeste,NOR-13,DEL012
MED0992,C,Noroeste,NOR-03,DEL032
MED0993,A,Noroeste,NOR-13,DEL047
MED0994,B,Levante,LEV-01,DEL049
MED0995,B,Levante,LEV-07,DEL014
MED0996,C,Centro,CEN-28,DEL043
MED0997,C,Levante,LEV-18,DEL019
MED0998,B,Centro,CEN-13,DEL028
MED0999,C,Noroeste,NOR-03,DEL007
MED1000,B,Sur,SUR-14,DEL045
MED1001,B,Levante,LEV-02,DEL019
MED1002,A,Noroeste,NOR-28,DEL022
MED1003,C,Noreste,NOR-17,DEL016
MED1004,C,Centro,CEN-26,DEL023
MED1005,B,Sur,SUR-16,DEL035
MED1006,B,Noreste,NOR-27,DEL036
MED1007,C,Centro,CEN-16,DEL008
MED1008,C,Sur,SUR-09,DEL005
MED1009,C,Noroeste,NOR-28,DEL042
MED1010,C,Centro,CEN-14,DEL038
MED1011,B,Levante,LEV-30,DEL049
MED1012,C,Centro,CEN-10,DEL023
MED1013,B,Centro,CEN-27,DEL033
MED1014,B,Levante,LEV-04,DEL039
MED1015,C,Sur,SUR-22,DEL040
MED1016,B,Sur,SUR-27,DEL040
MED1017,B,Sur,SUR-04,DEL045
MED1018,C,Sur,SUR-03,DEL015
MED1019,C,Sur,SUR-16,DEL050
MED1020,B,Centro,CEN-10,DEL048
MED1021,C,Centro,CEN-15,DEL038
MED1022,C,Centro,CEN-14,DEL008
MED1023,C,Noreste,NOR-27,DEL011
MED1024,B,Sur,SUR-26,DEL015
MED1025,C,Noroeste,NOR-10,DEL027
MED1026,C,Levante,LEV-02,DEL004
MED1027,C,Levante,LEV-07,DEL019
MED1028,C,Centro,CEN-06,DEL023
MED1029,B,Sur,SUR-24,DEL030
MED1030,B,Centro,CEN-10,DEL043
MED1031,C,Noroeste,NOR-18,DEL047
MED1032,A,Sur,SUR-06,DEL020
MED1033,C,Noreste,NOR-24,DEL041
MED1034,C,Levante,LEV-06,DEL024
MED1035,C,Levante,LEV-03,DEL014
MED1036,A,Sur,SUR-14,DEL040
MED1037,B,Centro,CEN-15,DEL018
MED1038,C,Sur,SUR-12,DEL010
MED1039,C,Noreste,NOR-05,DEL016
MED1040,B,Noreste,NOR-05,DEL036
MED1041,A,Centro,CEN-12,DEL033
MED1042,C,Noreste,NOR-30,DEL031
MED1043,B,Noroeste,NOR-17,DEL022
MED1044,B,Noreste,NOR-02,DEL041
MED1045,C,Sur,SUR-04,DEL015
MED1046,B,Centro,CEN-14,DEL033
MED1047,C,Noreste,NOR-15,DEL026
MED1048,B,Noreste,NOR-07,DEL046
MED1049,B,Sur,SUR-18,DEL020
MED1050,C,Levante,LEV-28,DEL039
MED1051,C,Centro,CEN-25,DEL023
MED1052,B,Levante,LEV-16,DEL049
MED1053,B,Sur,SUR-26,DEL030
MED1054,B,Levante,LEV-26,DEL034
MED1055,C,Levante,LEV-14,DEL004
MED1056,B,Levante,LEV-08,DEL039
MED1057,B,Centro,CEN-07,DEL018
MED1058,A,Levante,LEV-01,DEL049
MED1059,C,Noreste,NOR-09,DEL026
MED1060,B,Noreste,NOR-08,DEL036
MED1061,C,Sur,SUR-01,DEL035
MED1062,C,Centro,CEN-09,DEL028
MED1063,C,Noreste,NOR-19,DEL006
MED1064,B,Noreste,NOR-30,DEL016
MED1065,B,Centro,CEN-14,DEL038
MED1066,C,Centro,CEN-07,DEL028
MED1067,B,Sur,SUR-05,DEL005
MED1068,C,Centro,CEN-28,DEL048
MED1069,C,Levante,LEV-23,DEL044
MED1070,C,Levante,LEV-22,DEL019
MED1071,A,Levante,LEV-30,DEL049
MED1072,B,Centro,CEN-15,DEL008
MED1073,B,Levante,LEV-04,DEL019
MED1074,C,Noreste,NOR-13,DEL031
MED1075,A,Noroeste,NOR-18,DEL042
MED1076,B,Centro,CEN-30,DEL023
MED1077,B,Levante,LEV-19,DEL049
MED1078,B,Noreste,NOR-01,DEL016
MED1079,C,Levante,LEV-21,DEL009
MED1080,C,Centro,CEN-21,DEL008
MED1081,B,Noreste,NOR-11,DEL001
MED1082,C,Centro,CEN-14,DEL033
MED1083,B,Centro,CEN-06,DEL038
MED1084,C,Levante,LEV-16,DEL004
MED1085,C,Centro,CEN-19,DEL033
MED1086,C,Centro,CEN-22,DEL033
MED1087,A,Noreste,NOR-19,DEL006
MED1088,C,Centro,CEN-13,DEL038
MED1089,B,Noreste,NOR-03,DEL031
MED1090,A,Noreste,NOR-09,DEL021
MED1091,A,Sur,SUR-11,DEL035
MED1092,C,Centro,CEN-27,DEL013
MED1093,C,Sur,SUR-10,DEL045
MED1094,B,Noroeste,NOR-01,DEL042
MED1095,B,Noreste,NOR-15,DEL021
MED1096,B,Noreste,NOR-13,DEL006
MED1097,C,Noreste,NOR-30,DEL016
MED1098,C,Sur,SUR-17,DEL020
MED1099,C,Noroeste,NOR-27,DEL022
MED1100,C,Levante,LEV-21,DEL029
MED1101,B,Sur,SUR-07,DEL025
MED1102,A,Noreste,NOR-30,DEL036
MED1103,A,Levante,LEV-24,DEL039
MED1104,B,Sur,SUR-01,DEL030
MED1105,C,Levante,LEV-23,DEL004
MED1106,C,Centro,CEN-03,DEL008
MED1107,B,Noreste,NOR-10,DEL016
MED1108,C,Centro,CEN-27,DEL048
MED1109,B,Sur,SUR-11,DEL035
MED1110,B,Noroeste,NOR-11,DEL047
MED1111,A,Levante,LEV-03,DEL024
MED1112,C,Sur,SUR-27,DEL010
MED1113,A,Noreste,NOR-29,DEL026
MED1114,C,Levante,LEV-15,DEL049
MED1115,C,Sur,SUR-02,DEL030
MED1116,C,Noroeste,NOR-18,DEL007
MED1117,B,Sur,SUR-24,DEL005
MED1118,B,Noroeste,NOR-28,DEL002
MED1119,A,Noroeste,NOR-29,DEL007
MED1120,C,Levante,LEV-28,DEL009
MED1121,C,Levante,LEV-15,DEL014
MED1122,C,Levante,LEV-25,DEL009
MED1123,B,Levante,LEV-07,DEL019
MED1124,C,Noroeste,NOR-21,DEL017
MED1125,C,Noroeste,NOR-05,DEL002
MED1126,B,Noreste,NOR-15,DEL046
MED1127,B,Centro,CEN-17,DEL023
MED1128,C,Sur,SUR-24,DEL045
MED1129,C,Centro,CEN-12,DEL013
MED1130,C,Sur,SUR-15,DEL015
MED1131,C,Noroeste,NOR-21,DEL032
MED1132,B,Levante,LEV-13,DEL014
MED1133,C,Noreste,NOR-04,DEL036
MED1134,B,Centro,CEN-08,DEL013
MED1135,C,Centro,CEN-07,DEL043
MED1136,B,Noroeste,NOR-14,DEL017
MED1137,C,Noroeste,NOR-02,DEL047
MED1138,B,Centro,CEN-03,DEL038
MED1139,B,Centro,CEN-29,DEL018
MED1140,C,Noroeste,NOR-28,DEL032
MED1141,B,Noreste,NOR-08,DEL026
MED1142,C,Noroeste,NOR-08,DEL032
MED1143,B,Sur,SUR-29,DEL010
MED1144,B,Levante,LEV-10,DEL039
MED1145,C,Sur,SUR-15,DEL030
MED1146,C,Noroeste,NOR-23,DEL047
MED1147,B,Sur,SUR-04,DEL025
MED1148,B,Noreste,NOR-07,DEL026
MED1149,C,Sur,SUR-16,DEL050
MED1150,B,Noreste,NOR-04,DEL011
MED1151,C,Levante,LEV-14,DEL044
MED1152,C,Noreste,NOR-18,DEL046
MED1153,C,Noreste,NOR-27,DEL026
MED1154,C,Centro,CEN-18,DEL038
MED1155,B,Noroeste,NOR-25,DEL022
MED1156,C,Sur,SUR-06,DEL020
MED1157,C,Noreste,NOR-14,DEL031
MED1158,B,Noreste,NOR-10,DEL011
MED1159,B,Noreste,NOR-16,DEL016
MED1160,C,Centro,CEN-23,DEL018
MED1161,B,Centro,CEN-01,DEL023
MED1162,B,Centro,CEN-08,DEL033
MED1163,C,Noreste,NOR-11,DEL041
MED1164,C,Noreste,NOR-04,DEL011
MED1165,A,Centro,CEN-13,DEL033
MED1166,C,Sur,SUR-27,DEL030
MED1167,B,Noroeste,NOR-24,DEL047
MED1168,C,Noreste,NOR-24,DEL011
MED1169,C,Noreste,NOR-22,DEL001
MED1170,A,Noroeste,NOR-04,DEL022
MED1171,B,Levante,LEV-13,DEL009
MED1172,B,Levante,LEV-16,DEL039
MED1173,C,Noreste,NOR-20,DEL006
MED1174,C,Levante,LEV-11,DEL024
MED1175,B,Centro,CEN-26,DEL038
MED1176,C,Centro,CEN-17,DEL018
MED1177,A,Centro,CEN-03,DEL033
MED1178,C,Levante,LEV-14,DEL044
MED1179,B,Levante,LEV-26,DEL034
MED1180,C,Noroeste,NOR-02,DEL002
MED1181,B,Levante,LEV-16,DEL014
MED1182,C,Centro,CEN-05,DEL008
MED1183,A,Centro,CEN-29,DEL023
MED1184,C,Centro,CEN-01,DEL033
MED1185,B,Centro,CEN-02,DEL048
MED1186,A,Noroeste,NOR-23,DEL047
MED1187,A,Centro,CEN-06,DEL018
MED1188,C,Levante,LEV-16,DEL009
MED1189,C,Levante,LEV-17,DEL049
MED1190,C,Centro,CEN-06,DEL003
MED1191,C,Noroeste,NOR-01,DEL037
MED1192,C,Noroeste,NOR-06,DEL027
MED1193,A,Noreste,NOR-03,DEL041
MED1194,A,Centro,CEN-14,DEL013
MED1195,B,Noroeste,NOR-29,DEL027
MED1196,B,Sur,SUR-14,DEL045
MED1197,C,Centro,CEN-09,DEL048
MED1198,B,Sur,SUR-08,DEL030
MED1199,B,Levante,LEV-24,DEL019
MED1200,A,Centro,CEN-22,DEL033
MED1201,B,Noroeste,NOR-22,DEL022
MED1202,B,Centro,CEN-26,DEL038
MED1203,C,Levante,LEV-24,DEL034
MED1204,C,Centro,CEN-27,DEL028
MED1205,B,Levante,LEV-24,DEL019
MED1206,B,Sur,SUR-17,DEL030
MED1207,C,Noreste,NOR-20,DEL046
MED1208,B,Sur,SUR-03,DEL005
MED1209,B,Centro,CEN-10,DEL038
MED1210,C,Levante,LEV-30,DEL009
MED1211,C,Levante,LEV-12,DEL009
MED1212,B,Noroeste,NOR-20,DEL047
MED1213,B,Centro,CEN-05,DEL033
MED1214,B,Levante,LEV-22,DEL044
MED1215,B,Centro,CEN-10,DEL013
MED1216,C,Sur,SUR-19,DEL050
MED1217,B,Sur,SUR-13,DEL050
MED1218,C,Noroeste,NOR-24,DEL007
MED1219,C,Noreste,NOR-28,DEL036
MED1220,A,Levante,LEV-12,DEL034
MED1221,A,Noroeste,NOR-17,DEL017
MED1222,B,Noreste,NOR-01,DEL026
MED1223,B,Noreste,NOR-06,DEL041
MED1224,C,Levante,LEV-22,DEL039
MED1225,B,Centro,CEN-24,DEL018
MED1226,C,Centro,CEN-11,DEL038
MED1227,A,Centro,CEN-20,DEL033
MED1228,C,Centro,CEN-06,DEL048
MED1229,C,Centro,CEN-04,DEL038
MED1230,B,Noreste,NOR-18,DEL021
MED1231,C,Centro,CEN-10,DEL023
MED1232,C,Sur,SUR-30,DEL040
MED1233,B,Centro,CEN-23,DEL038
MED1234,B,Noreste,NOR-29,DEL001
MED1235,B,Sur,SUR-05,DEL040
MED1236,C,Centro,CEN-21,DEL023
MED1237,B,Noreste,NOR-26,DEL041
MED1238,B,Noreste,NOR-10,DEL006
MED1239,B,Centro,CEN-16,DEL033
