id_medico,id_delegado,region,segmento,categoria_2025,cuota_2025,visitas_2025,visitas_plan,delta_visitas,delta_unidades,delta_eur
MED1687,DEL011,Noreste,B,5691,0.206,4,6,2,82,1476
MED1513,DEL011,Noreste,B,5506,0.206,4,5,1,45,810
MED0256,DEL011,Noreste,B,5296,0.136,0,5,5,559,10062
MED1883,DEL011,Noreste,B,5210,0.219,4,5,1,43,774
MED1913,DEL011,Noreste,B,5168,0.163,1,5,4,313,5634
MED1874,DEL011,Noreste,B,5069,0.24,8,5,-3,-77,-1386
MED1327,DEL011,Noreste,B,4844,0.16,2,5,3,171,3078
MED0188,DEL011,Noreste,B,4764,0.11,0,5,5,503,9054
MED0433,DEL011,Noreste,B,4705,0.18,3,5,2,91,1638
MED1158,DEL011,Noreste,B,4577,0.193,4,5,1,37,666
MED0079,DEL011,Noreste,B,4484,0.12,1,5,4,271,4878
MED1501,DEL011,Noreste,B,4461,0.251,13,5,-8,-123,-2214
MED0766,DEL011,Noreste,B,4435,0.227,6,5,-1,-28,-504
MED0137,DEL011,Noreste,B,4268,0.25,11,5,-6,-101,-1818
MED0049,DEL011,Noreste,B,4003,0.136,2,4,2,109,1962
MED1150,DEL011,Noreste,B,3850,0.221,4,4,0,0,0
MED0304,DEL011,Noreste,B,3563,0.242,5,4,-1,-29,-522
MED0580,DEL011,Noreste,B,3521,0.207,3,4,1,39,702
MED1829,DEL011,Noreste,B,3394,0.201,3,4,1,38,684
MED0700,DEL011,Noreste,B,3296,0.221,5,4,-1,-27,-486
MED1820,DEL011,Noreste,B,2977,0.18,3,3,0,0,0
MED1331,DEL011,Noreste,C,1882,0.176,2,2,0,0,0
MED0671,DEL011,Noreste,C,1852,0.208,2,2,0,0,0
MED1164,DEL011,Noreste,C,1791,0.182,1,2,1,45,810
MED0692,DEL011,Noreste,C,1767,0.108,0,2,2,124,2232
MED0264,DEL011,Noreste,C,1702,0.227,2,2,0,0,0
MED1822,DEL011,Noreste,C,1663,0.118,0,2,2,117,2106
MED1853,DEL011,Noreste,C,1663,0.272,6,2,-4,-69,-1242
MED1654,DEL011,Noreste,C,1630,0.194,2,2,0,0,0
MED1889,DEL011,Noreste,C,1621,0.188,1,2,1,41,738
MED1948,DEL011,Noreste,C,1548,0.182,2,2,0,0,0
MED1643,DEL011,Noreste,C,1495,0.172,1,2,1,38,684
MED0838,DEL011,Noreste,C,1481,0.122,0,2,2,104,1872
MED1168,DEL011,Noreste,C,1397,0.178,2,2,0,0,0
MED0330,DEL011,Noreste,C,1384,0.121,0,2,2,97,1746
MED0083,DEL011,Noreste,C,1382,0.242,8,1,-7,-105,-1890
MED0437,DEL011,Noreste,C,1304,0.252,2,1,-1,-33,-594
MED1791,DEL011,Noreste,C,1166,0.125,0,1,1,52,936
MED1023,DEL011,Noreste,C,1130,0.196,2,1,-1,-28,-504
MED0615,DEL011,Noreste,C,1088,0.131,0,1,1,49,882
MED0508,DEL011,Noreste,C,1039,0.183,1,1,0,0,0
MED1749,DEL012,Noroeste,A,12952,0.216,19,12,-7,-117,-2106
MED1955,DEL012,Noroeste,A,11617,0.243,21,11,-10,-147,-2646
MED0011,DEL012,Noroeste,A,11596,0.237,23,11,-12,-162,-2916
MED1844,DEL012,Noroeste,A,10315,0.178,5,10,5,220,3960
MED0991,DEL012,Noroeste,A,7684,0.222,17,8,-9,-135,-2430
MED0654,DEL012,Noroeste,B,5255,0.18,6,6,0,0,0
MED1605,DEL012,Noroeste,B,4875,0.255,12,6,-6,-95,-1710
MED1994,DEL012,Noroeste,B,4870,0.127,0,6,6,544,9792
MED1570,DEL012,Noroeste,B,4856,0.181,3,6,3,124,2232
MED0236,DEL012,Noroeste,B,4793,0.217,4,6,2,69,1242
MED0395,DEL012,Noroeste,B,4381,0.103,0,6,6,490,8820
MED0284,DEL012,Noroeste,B,3597,0.165,2,5,3,127,2286
MED1495,DEL012,Noroeste,B,3512,0.13,0,5,5,371,6678
MED0148,DEL012,Noroeste,B,2575,0.178,1,4,3,135,2430
MED1652,DEL012,Noroeste,C,2277,0.249,3,3,0,0,0
MED0568,DEL012,Noroeste,C,1881,0.257,5,3,-2,-36,-648
MED1256,DEL012,Noroeste,C,1881,0.141,0,3,3,162,2916
MED0949,DEL012,Noroeste,C,1810,0.127,0,3,3,156,2808
MED0731,DEL012,Noroeste,C,1751,0.196,2,3,1,28,504
MED1583,DEL012,Noroeste,C,1689,0.118,0,3,3,146,2628
MED0270,DEL012,Noroeste,C,1638,0.128,0,2,2,115,2070
MED1247,DEL012,Noroeste,C,1536,0.197,1,2,1,39,702
MED1696,DEL012,Noroeste,C,1328,0.225,3,2,-1,-21,-378
MED1677,DEL012,Noroeste,C,1153,0.212,2,2,0,0,0
MED1916,DEL012,Noroeste,C,1034,0.133,0,1,1,47,846
MED0522,DEL013,Centro,A,16167,0.257,15,12,-3,-77,-1386
MED0272,DEL013,Centro,A,13803,0.227,13,11,-2,-53,-954
MED0748,DEL013,Centro,A,13654,0.233,17,11,-6,-125,-2250
MED1194,DEL013,Centro,A,13418,0.194,15,10,-5,-123,-2214
MED0080,DEL013,Centro,A,12605,0.198,6,10,4,190,3420
MED0383,DEL013,Centro,A,12576,0.222,18,10,-8,-158,-2844
MED0758,DEL013,Centro,A,10729,0.227,10,9,-1,-30,-540
MED1575,DEL013,Centro,A,10631,0.219,14,9,-5,-112,-2016
MED0194,DEL013,Centro,B,6255,0.195,3,6,3,160,2880
MED0096,DEL013,Centro,B,6061,0.111,0,6,6,678,12204
MED1551,DEL013,Centro,B,5821,0.178,3,6,3,149,2682
MED1890,DEL013,Centro,B,5408,0.203,7,6,-1,-27,-486
MED1134,DEL013,Centro,B,5192,0.162,1,6,5,347,6246
MED0275,DEL013,Centro,B,5039,0.205,3,5,2,97,1746
MED1242,DEL013,Centro,B,4962,0.175,3,5,2,96,1728
MED0117,DEL013,Centro,B,4478,0.132,1,5,4,271,4878
MED1642,DEL013,Centro,B,4121,0.214,4,5,1,34,612
MED0129,DEL013,Centro,B,4117,0.206,4,5,1,34,612
MED1631,DEL013,Centro,B,3951,0.275,9,4,-5,-106,-1908
MED1385,DEL013,Centro,B,2926,0.235,22,4,-18,-132,-2376
MED1215,DEL013,Centro,B,2058,0.19,5,3,-2,-40,-720
MED1607,DEL013,Centro,C,2437,0.136,0,3,3,210,3780
MED0349,DEL013,Centro,C,2036,0.117,0,3,3,175,3150
MED1816,DEL013,Centro,C,2019,0.143,0,2,2,142,2556
MED1484,DEL013,Centro,C,1999,0.127,0,2,2,140,2520
MED0234,DEL013,Centro,C,1995,0.132,1,2,1,50,900
MED1092,DEL013,Centro,C,1917,0.156,1,2,1,48,864
MED0571,DEL013,Centro,C,1892,0.202,2,2,0,0,0
MED1833,DEL013,Centro,C,1814,0.138,0,2,2,127,2286
MED1304,DEL013,Centro,C,1770,0.185,1,2,1,45,810
MED1723,DEL013,Centro,C,1744,0.113,0,2,2,122,2196
MED0031,DEL013,Centro,C,1735,0.217,2,2,0,0,0
MED0524,DEL013,Centro,C,1726,0.117,0,2,2,121,2178
MED1262,DEL013,Centro,C,1650,0.22,3,2,-1,-27,-486
MED1713,DEL013,Centro,C,1642,0.114,0,2,2,115,2070
MED0501,DEL013,Centro,C,1493,0.109,0,2,2,105,1890
MED0115,DEL013,Centro,C,1467,0.104,0,2,2,103,1854
MED1261,DEL013,Centro,C,1447,0.255,4,2,-2,-39,-702
MED1920,DEL013,Centro,C,1426,0.114,0,2,2,100,1800
MED1361,DEL013,Centro,C,1382,0.16,1,2,1,35,630
MED1129,DEL013,Centro,C,1363,0.178,1,2,1,34,612
MED1357,DEL013,Centro,C,1319,0.217,2,2,0,0,0
MED0450,DEL013,Centro,C,1235,0.22,5,1,-4,-75,-1350
MED1523,DEL013,Centro,C,1158,0.139,0,1,1,52,936
MED0937,DEL013,Centro,C,1108,0.113,0,1,1,50,900
MED0512,DEL013,Centro,C,1057,0.114,0,1,1,48,864
MED0714,DEL014,Levante,A,13959,0.226,12,10,-2,-62,-1116
MED0312,DEL014,Levante,A,12924,0.156,2,9,7,697,12546
MED0457,DEL014,Levante,A,12823,0.222,12,9,-3,-93,-1674
MED0718,DEL014,Levante,A,11820,0.094,0,9,9,1467,26406
MED0616,DEL014,Levante,A,11341,0.172,2,9,7,612,11016
MED0197,DEL014,Levante,A,7638,0.248,23,7,-16,-202,-3636
MED0893,DEL014,Levante,A,6667,0.244,19,6,-13,-190,-3420
MED1712,DEL014,Levante,B,6538,0.171,4,6,2,95,1710
MED1766,DEL014,Levante,B,6506,0.16,1,6,5,435,7830
MED0918,DEL014,Levante,B,5981,0.23,6,6,0,0,0
MED0300,DEL014,Levante,B,5617,0.237,6,5,-1,-35,-630
MED0574,DEL014,Levante,B,5209,0.201,8,5,-3,-79,-1422
MED0431,DEL014,Levante,B,5185,0.232,15,5,-10,-158,-2844
MED1289,DEL014,Levante,B,4986,0.169,2,5,3,176,3168
MED0317,DEL014,Levante,B,4929,0.206,5,5,0,0,0
MED1132,DEL014,Levante,B,4684,0.226,5,5,0,0,0
MED0329,DEL014,Levante,B,4504,0.182,2,5,3,159,2862
MED1617,DEL014,Levante,B,4438,0.167,3,5,2,86,1548
MED1576,DEL014,Levante,B,4359,0.212,3,4,1,49,882
MED0511,DEL014,Levante,B,4157,0.114,0,4,4,405,7290
MED0231,DEL014,Levante,B,4070,0.197,2,4,2,111,1998
MED0391,DEL014,Levante,B,3919,0.12,0,4,4,381,6858
MED1181,DEL014,Levante,B,3893,0.209,3,4,1,43,774
MED0995,DEL014,Levante,B,3711,0.241,7,4,-3,-72,-1296
MED0098,DEL014,Levante,B,3434,0.134,0,4,4,334,6012
MED0295,DEL014,Levante,B,3431,0.234,6,4,-2,-50,-900
MED1574,DEL014,Levante,B,2902,0.124,0,3,3,250,4500
MED0545,DEL014,Levante,C,2011,0.148,0,2,2,141,2538
MED1121,DEL014,Levante,C,1979,0.116,0,2,2,139,2502
MED0861,DEL014,Levante,C,1934,0.253,5,2,-3,-68,-1224
MED0384,DEL014,Levante,C,1918,0.181,1,2,1,48,864
MED1512,DEL014,Levante,C,1908,0.219,3,2,-1,-31,-558
MED0237,DEL014,Levante,C,1851,0.232,2,2,0,0,0
MED0708,DEL014,Levante,C,1739,0.17,1,2,1,44,792
MED1701,DEL014,Levante,C,1664,0.153,1,2,1,42,756
MED1524,DEL014,Levante,C,1636,0.236,3,2,-1,-26,-468
MED1439,DEL014,Levante,C,1586,0.256,10,2,-8,-90,-1620
MED0281,DEL014,Levante,C,1585,0.191,1,2,1,40,720
MED1447,DEL014,Levante,C,1546,0.202,3,2,-1,-25,-450
MED0678,DEL014,Levante,C,1545,0.218,2,2,0,0,0
MED1724,DEL014,Levante,C,1539,0.099,0,2,2,108,1944
MED0153,DEL014,Levante,C,1478,0.117,0,2,2,104,1872
MED0798,DEL014,Levante,C,1473,0.165,1,2,1,37,666
MED0785,DEL014,Levante,C,1440,0.204,2,2,0,0,0
MED1738,DEL014,Levante,C,1413,0.155,1,1,0,0,0
MED0526,DEL014,Levante,C,1400,0.126,0,1,1,63,1134
MED1309,DEL014,Levante,C,1388,0.18,1,1,0,0,0
MED1035,DEL014,Levante,C,1352,0.207,4,1,-3,-71,-1278
MED0657,DEL014,Levante,C,1204,0.189,1,1,0,0,0
MED0928,DEL014,Levante,C,1201,0.123,0,1,1,54,972
MED0664,DEL014,Levante,C,1090,0.224,3,1,-2,-45,-810
MED0970,DEL015,Sur,A,13065,0.24,13,10,-3,-81,-1458
MED1675,DEL015,Sur,A,12866,0.231,10,10,0,0,0
MED1365,DEL015,Sur,A,12523,0.243,17,10,-7,-144,-2592
MED0486,DEL015,Sur,A,11519,0.261,15,10,-5,-106,-1908
MED0449,DEL015,Sur,B,7104,0.145,1,7,6,510,9180
MED1752,DEL015,Sur,B,5914,0.213,4,6,2,85,1530
MED1933,DEL015,Sur,B,5503,0.246,4,6,2,80,1440
MED1587,DEL015,Sur,B,5439,0.239,6,6,0,0,0
MED1639,DEL015,Sur,B,5274,0.143,1,6,5,352,6336
MED1024,DEL015,Sur,B,5066,0.222,6,6,0,0,0
MED0052,DEL015,Sur,B,4741,0.209,3,5,2,92,1656
MED1789,DEL015,Sur,B,4727,0.247,9,5,-4,-88,-1584
MED0878,DEL015,Sur,B,4621,0.187,4,5,1,38,684
MED1407,DEL015,Sur,B,3881,0.158,1,5,4,235,4230
MED0764,DEL015,Sur,B,3092,0.228,6,4,-2,-45,-810
MED1373,DEL015,Sur,B,2783,0.206,5,3,-2,-54,-972
MED1790,DEL015,Sur,C,1986,0.121,0,3,3,171,3078
MED1480,DEL015,Sur,C,1954,0.166,2,3,1,31,558
MED1467,DEL015,Sur,C,1775,0.241,2,2,0,0,0
MED0140,DEL015,Sur,C,1739,0.181,2,2,0,0,0
MED1130,DEL015,Sur,C,1647,0.108,0,2,2,115,2070
MED1045,DEL015,Sur,C,1629,0.253,12,2,-10,-100,-1800
MED1018,DEL015,Sur,C,1555,0.116,0,2,2,109,1962
MED0768,DEL015,Sur,C,1534,0.169,1,2,1,39,702
MED0627,DEL015,Sur,C,1469,0.128,0,2,2,103,1854
MED1802,DEL015,Sur,C,1431,0.14,0,2,2,100,1800
MED1978,DEL015,Sur,C,1341,0.206,2,2,0,0,0
MED1968,DEL015,Sur,C,1320,0.244,4,2,-2,-36,-648
MED1442,DEL015,Sur,C,1124,0.179,1,1,0,0,0
MED0540,DEL016,Noreste,A,13882,0.243,15,12,-3,-66,-1188
MED1517,DEL016,Noreste,A,13344,0.203,11,11,0,0,0
MED1456,DEL016,Noreste,A,12501,0.199,5,11,6,297,5346
MED1720,DEL016,Noreste,A,11668,0.203,16,10,-6,-121,-2178
MED0214,DEL016,Noreste,A,8984,0.201,3,9,6,340,6120
MED1623,DEL016,Noreste,A,8797,0.24,18,9,-9,-135,-2430
MED1107,DEL016,Noreste,B,6242,0.21,6,7,1,31,558
MED0048,DEL016,Noreste,B,5658,0.276,14,6,-8,-129,-2322
MED1795,DEL016,Noreste,B,5535,0.215,4,6,2,80,1440
MED1923,DEL016,Noreste,B,5340,0.219,6,6,0,0,0
MED1466,DEL016,Noreste,B,5072,0.192,3,6,3,130,2340
MED0676,DEL016,Noreste,B,4833,0.154,3,6,3,124,2232
MED0424,DEL016,Noreste,B,4677,0.226,10,6,-4,-71,-1278
MED1693,DEL016,Noreste,B,4635,0.286,18,6,-12,-128,-2304
MED0609,DEL016,Noreste,B,4381,0.123,0,5,5,462,8316
MED1656,DEL016,Noreste,B,4295,0.214,3,5,2,83,1494
MED0655,DEL016,Noreste,B,4206,0.131,0,5,5,444,7992
MED1817,DEL016,Noreste,B,4161,0.209,6,5,-1,-26,-468
MED1078,DEL016,Noreste,B,4042,0.207,3,5,2,78,1404
MED1455,DEL016,Noreste,B,3842,0.27,8,5,-3,-59,-1062
MED1159,DEL016,Noreste,B,3786,0.184,3,5,2,73,1314
MED1716,DEL016,Noreste,B,3639,0.214,3,5,2,70,1260
MED1543,DEL016,Noreste,B,2918,0.222,5,4,-1,-24,-432
MED1064,DEL016,Noreste,B,2533,0.238,5,3,-2,-49,-882
MED0285,DEL016,Noreste,C,2285,0.231,3,3,0,0,0
MED0821,DEL016,Noreste,C,2254,0.265,7,3,-4,-69,-1242
MED1319,DEL016,Noreste,C,2162,0.127,0,3,3,186,3348
MED0154,DEL016,Noreste,C,2110,0.123,0,3,3,182,3276
MED1477,DEL016,Noreste,C,2028,0.201,2,3,1,33,594
MED1387,DEL016,Noreste,C,1913,0.263,3,3,0,0,0
MED0904,DEL016,Noreste,C,1840,0.113,0,3,3,159,2862
MED0483,DEL016,Noreste,C,1756,0.22,2,2,0,0,0
MED1465,DEL016,Noreste,C,1680,0.187,1,2,1,42,756
MED0536,DEL016,Noreste,C,1609,0.181,1,2,1,40,720
MED0155,DEL016,Noreste,C,1581,0.139,0,2,2,111,1998
MED0043,DEL016,Noreste,C,1531,0.238,8,2,-6,-78,-1404
MED0552,DEL016,Noreste,C,1503,0.197,1,2,1,38,684
MED1039,DEL016,Noreste,C,1486,0.127,0,2,2,104,1872
MED1003,DEL016,Noreste,C,1464,0.137,0,2,2,103,1854
MED0087,DEL016,Noreste,C,1450,0.152,1,2,1,36,648
MED0831,DEL016,Noreste,C,1434,0.192,2,2,0,0,0
MED1097,DEL016,Noreste,C,1352,0.214,3,2,-1,-22,-396
MED0755,DEL016,Noreste,C,1337,0.114,0,2,2,94,1692
MED1332,DEL016,Noreste,C,1200,0.181,1,2,1,30,540
MED1269,DEL016,Noreste,C,1189,0.201,2,2,0,0,0
MED0880,DEL016,Noreste,C,1176,0.124,0,2,2,82,1476
MED0170,DEL016,Noreste,C,1150,0.223,3,2,-1,-18,-324
MED0415,DEL016,Noreste,C,1114,0.241,5,1,-4,-67,-1206
MED1771,DEL016,Noreste,C,1002,0.131,0,1,1,45,810
MED1541,DEL017,Noroeste,A,13974,0.232,16,11,-5,-112,-2016
MED0279,DEL017,Noroeste,A,13719,0.212,5,11,6,325,5850
MED0517,DEL017,Noroeste,A,13166,0.199,5,11,6,312,5616
MED1221,DEL017,Noroeste,A,12700,0.253,22,10,-12,-200,-3600
MED0784,DEL017,Noroeste,A,12681,0.205,4,10,6,374,6732
MED1875,DEL017,Noroeste,A,12591,0.234,23,10,-13,-206,-3708
MED1584,DEL017,Noroeste,A,11735,0.24,22,10,-12,-185,-3330
MED1432,DEL017,Noroeste,A,10177,0.227,15,9,-6,-122,-2196
MED0458,DEL017,Noroeste,B,5588,0.142,1,6,5,373,6714
MED1266,DEL017,Noroeste,B,5280,0.17,2,6,4,220,3960
MED0889,DEL017,Noroeste,B,5276,0.144,0,6,6,590,10620
MED1136,DEL017,Noroeste,B,5042,0.194,3,6,3,129,2322
MED1888,DEL017,Noroeste,B,4855,0.207,4,5,1,40,720
MED1499,DEL017,Noroeste,B,4069,0.109,0,5,5,429,7722
MED1124,DEL017,Noroeste,C,2225,0.111,0,3,3,192,3456
MED0149,DEL017,Noroeste,C,2130,0.235,5,3,-2,-41,-738
MED1730,DEL017,Noroeste,C,2109,0.125,0,3,3,182,3276
MED0163,DEL017,Noroeste,C,1995,0.257,3,3,0,0,0
MED0500,DEL017,Noroeste,C,1970,0.212,3,3,0,0,0
MED0975,DEL017,Noroeste,C,1895,0.13,0,2,2,133,2394
MED0057,DEL017,Noroeste,C,1823,0.208,2,2,0,0,0
MED0800,DEL017,Noroeste,C,1733,0.182,2,2,0,0,0
MED0774,DEL017,Noroeste,C,1711,0.16,1,2,1,43,774
MED1896,DEL017,Noroeste,C,1620,0.206,1,2,1,41,738
MED1804,DEL017,Noroeste,C,1601,0.161,1,2,1,40,720
MED0554,DEL017,Noroeste,C,1583,0.204,2,2,0,0,0
MED0468,DEL017,Noroeste,C,1572,0.112,0,2,2,110,1980
MED1881,DEL017,Noroeste,C,1539,0.168,1,2,1,39,702
MED0737,DEL017,Noroeste,C,1464,0.129,0,2,2,103,1854
MED0842,DEL017,Noroeste,C,1433,0.193,3,2,-1,-23,-414
MED1640,DEL017,Noroeste,C,1423,0.113,0,2,2,100,1800
MED1672,DEL017,Noroeste,C,1370,0.187,3,2,-1,-22,-396
MED0172,DEL017,Noroeste,C,1366,0.109,0,2,2,96,1728
MED1715,DEL017,Noroeste,C,1229,0.274,12,1,-11,-106,-1908
MED1939,DEL017,Noroeste,C,1098,0.104,0,1,1,49,882
MED0353,DEL018,Centro,A,15291,0.242,21,12,-9,-162,-2916
MED0388,DEL018,Centro,A,14564,0.247,17,12,-5,-103,-1854
MED1779,DEL018,Centro,A,14191,0.234,16,12,-4,-85,-1530
MED1633,DEL018,Centro,A,12980,0.229,15,11,-4,-88,-1584
MED0573,DEL018,Centro,A,12825,0.24,17,11,-6,-117,-2106
MED1545,DEL018,Centro,A,12443,0.226,8,11,3,106,1908
MED1592,DEL018,Centro,A,12392,0.263,16,11,-5,-100,-1800
MED0446,DEL018,Centro,A,10569,0.249,11,10,-1,-25,-450
MED0040,DEL018,Centro,A,9982,0.253,13,10,-3,-62,-1116
MED1698,DEL018,Centro,A,9438,0.204,21,9,-12,-168,-3024
MED0730,DEL018,Centro,A,8995,0.241,16,9,-7,-119,-2142
MED0543,DEL018,Centro,A,8147,0.231,21,8,-13,-172,-3096
MED1187,DEL018,Centro,A,6730,0.263,21,7,-14,-169,-3042
MED1411,DEL018,Centro,B,7860,0.19,2,8,6,398,7164
MED1963,DEL018,Centro,B,6305,0.131,1,7,6,452,8136
MED0567,DEL018,Centro,B,6257,0.139,0,7,7,730,13140
MED1225,DEL018,Centro,B,6220,0.238,7,7,0,0,0
MED1139,DEL018,Centro,B,5550,0.166,3,6,3,142,2556
MED0050,DEL018,Centro,B,5482,0.255,7,6,-1,-27,-486
MED0703,DEL018,Centro,B,5434,0.198,7,6,-1,-27,-486
MED1946,DEL018,Centro,B,4972,0.133,0,6,6,556,10008
MED0757,DEL018,Centro,B,4902,0.211,6,6,0,0,0
MED1057,DEL018,Centro,B,4798,0.144,1,6,5,321,5778
MED1443,DEL018,Centro,B,4681,0.131,1,6,5,313,5634
MED1037,DEL018,Centro,B,4593,0.192,5,6,1,29,522
MED1412,DEL018,Centro,B,3795,0.163,2,5,3,134,2412
MED1932,DEL018,Centro,B,3779,0.182,2,5,3,134,2412
MED0518,DEL018,Centro,B,3496,0.191,3,5,2,68,1224
MED1364,DEL018,Centro,B,1525,0.188,3,2,-1,-24,-432
MED0888,DEL018,Centro,C,2221,0.13,0,3,3,191,3438
MED0541,DEL018,Centro,C,2161,0.18,1,3,2,89,1602
MED1680,DEL018,Centro,C,2113,0.123,0,3,3,182,3276
MED0228,DEL018,Centro,C,2013,0.161,1,3,2,83,1494
MED0221,DEL018,Centro,C,1931,0.116,0,3,3,166,2988
MED1878,DEL018,Centro,C,1860,0.128,0,3,3,160,2880
MED1767,DEL018,Centro,C,1758,0.17,1,3,2,72,1296
MED1252,DEL018,Centro,C,1703,0.114,0,2,2,119,2142
MED1340,DEL018,Centro,C,1673,0.166,1,2,1,42,756
MED1754,DEL018,Centro,C,1659,0.207,5,2,-3,-59,-1062
MED0204,DEL018,Centro,C,1639,0.239,2,2,0,0,0
MED1160,DEL018,Centro,C,1563,0.106,0,2,2,110,1980
MED0735,DEL018,Centro,C,1555,0.138,0,2,2,109,1962
MED0133,DEL018,Centro,C,1475,0.119,0,2,2,103,1854
MED0945,DEL018,Centro,C,1467,0.114,0,2,2,103,1854
MED0790,DEL018,Centro,C,1443,0.157,1,2,1,36,648
MED0873,DEL018,Centro,C,1430,0.109,0,2,2,100,1800
MED1599,DEL018,Centro,C,1366,0.141,0,2,2,96,1728
MED1176,DEL018,Centro,C,1314,0.112,0,2,2,92,1656
MED0008,DEL018,Centro,C,1243,0.117,0,2,2,87,1566
MED1627,DEL018,Centro,C,949,0.105,0,1,1,43,774
MED0365,DEL019,Levante,A,18586,0.189,10,11,1,44,792
MED1437,DEL019,Levante,A,16444,0.276,11,10,-1,-39,-702
MED0396,DEL019,Levante,A,13774,0.21,7,9,2,101,1818
MED1123,DEL019,Levante,B,6369,0.123,0,5,5,672,12096
MED0753,DEL019,Levante,B,5399,0.187,3,5,2,104,1872
MED0200,DEL019,Levante,B,5359,0.203,8,5,-3,-82,-1476
MED1989,DEL019,Levante,B,5330,0.112,0,5,5,562,10116
MED1394,DEL019,Levante,B,5115,0.179,3,4,1,57,1026
MED0340,DEL019,Levante,B,5112,0.203,3,4,1,57,1026
MED1559,DEL019,Levante,B,4953,0.161,3,4,1,55,990
MED1556,DEL019,Levante,B,4778,0.238,9,4,-5,-128,-2304
MED1205,DEL019,Levante,B,4614,0.196,3,4,1,51,918
MED1199,DEL019,Levante,B,4561,0.257,18,4,-14,-192,-3456
MED1073,DEL019,Levante,B,4549,0.144,2,4,2,124,2232
MED0864,DEL019,Levante,B,4346,0.237,6,4,-2,-63,-1134
MED1001,DEL019,Levante,B,4179,0.196,3,4,1,47,846
MED1774,DEL019,Levante,B,3406,0.114,0,3,3,294,5292
MED0359,DEL019,Levante,B,2543,0.195,5,2,-3,-90,-1620
MED0102,DEL019,Levante,C,2522,0.23,4,2,-2,-69,-1242
MED1613,DEL019,Levante,C,2511,0.201,2,2,0,0,0
MED0262,DEL019,Levante,C,2479,0.115,0,2,2,174,3132
MED0250,DEL019,Levante,C,2069,0.164,2,2,0,0,0
MED0820,DEL019,Levante,C,2052,0.121,0,2,2,144,2592
MED0642,DEL019,Levante,C,2005,0.217,11,2,-9,-119,-2142
MED0997,DEL019,Levante,C,2001,0.213,3,2,-1,-32,-576
MED1957,DEL019,Levante,C,1921,0.168,1,2,1,48,864
MED1748,DEL019,Levante,C,1898,0.125,0,2,2,133,2394
MED1525,DEL019,Levante,C,1819,0.162,1,2,1,46,828
MED0350,DEL019,Levante,C,1743,0.181,1,2,1,44,792
MED1426,DEL019,Levante,C,1723,0.143,0,2,2,121,2178
MED0810,DEL019,Levante,C,1708,0.127,0,1,1,77,1386
MED0608,DEL019,Levante,C,1698,0.143,1,1,0,0,0
MED0850,DEL019,Levante,C,1678,0.1,0,1,1,75,1350
MED0797,DEL019,Levante,C,1621,0.184,1,1,0,0,0
MED1956,DEL019,Levante,C,1581,0.157,1,1,0,0,0
MED1070,DEL019,Levante,C,1565,0.122,0,1,1,70,1260
MED1351,DEL019,Levante,C,1546,0.109,0,1,1,70,1260
MED1755,DEL019,Levante,C,1537,0.202,1,1,0,0,0
MED1859,DEL019,Levante,C,1471,0.114,0,1,1,66,1188
MED1027,DEL019,Levante,C,1389,0.222,2,1,-1,-35,-630
MED1548,DEL019,Levante,C,1371,0.169,1,1,0,0,0
MED0656,DEL019,Levante,C,1246,0.123,0,1,1,56,1008
MED0488,DEL019,Levante,C,1219,0.18,1,1,0,0,0
MED0617,DEL019,Levante,C,1108,0.19,2,1,-1,-28,-504
MED1797,DEL020,Sur,A,16718,0.24,13,13,0,0,0
MED1700,DEL020,Sur,A,14190,0.223,17,12,-5,-101,-1818
MED1032,DEL020,Sur,A,11520,0.242,20,10,-10,-164,-2952
MED1503,DEL020,Sur,A,10269,0.237,20,9,-11,-175,-3150
MED0022,DEL020,Sur,A,6720,0.273,21,7,-14,-169,-3042
MED0338,DEL020,Sur,B,6105,0.134,0,7,7,713,12834
MED0112,DEL020,Sur,B,5949,0.133,0,7,7,694,12492
MED1433,DEL020,Sur,B,5872,0.14,0,7,7,686,12348
MED0549,DEL020,Sur,B,5858,0.246,6,7,1,29,522
MED1049,DEL020,Sur,B,5519,0.213,6,6,0,0,0
MED1379,DEL020,Sur,B,5426,0.177,2,6,4,226,4068
MED0173,DEL020,Sur,B,5368,0.205,8,6,-2,-48,-864
MED1850,DEL020,Sur,B,5288,0.184,2,6,4,220,3960
MED0982,DEL020,Sur,B,5002,0.198,4,6,2,72,1296
MED1384,DEL020,Sur,B,4930,0.192,3,6,3,126,2268
MED0710,DEL020,Sur,B,4898,0.222,3,6,3,125,2250
MED0217,DEL020,Sur,B,4570,0.175,2,6,4,190,3420
MED0795,DEL020,Sur,B,4208,0.231,7,5,-2,-47,-846
MED1976,DEL020,Sur,B,3427,0.135,1,4,3,179,3222
MED1268,DEL020,Sur,B,3335,0.2,4,4,0,0,0
MED1998,DEL020,Sur,B,2648,0.191,5,4,-1,-22,-396
MED0138,DEL020,Sur,C,2567,0.121,0,3,3,221,3978
MED0255,DEL020,Sur,C,2159,0.189,2,3,1,35,630
MED0185,DEL020,Sur,C,2105,0.137,0,3,3,181,3258
MED0004,DEL020,Sur,C,1929,0.135,0,3,3,166,2988
MED0417,DEL020,Sur,C,1919,0.159,1,3,2,79,1422
MED0174,DEL020,Sur,C,1862,0.169,1,3,2,77,1386
MED1982,DEL020,Sur,C,1831,0.171,1,3,2,75,1350
